date,Donald Trump,Putin,MeToo,Bitcoin,ISIS,country
2019-10-29,30,8,3,19,3,Norway
2019-10-29,11,1,0,12,6,United Kingdom
2019-10-30,10,2,0,11,4,United Kingdom
2019-10-30,6,0,0,3,3,United States
2019-10-30,21,8,3,13,12,Norway
2019-10-30,12,0,0,5,3,Canada
2019-10-30,10,4,0,36,6,Germany
2019-10-31,14,2,0,11,5,United Kingdom
2019-10-31,13,1,0,6,3,Canada
2019-10-31,18,3,0,17,12,Norway
2019-10-31,9,3,0,34,6,Germany
2019-10-31,7,0,0,3,3,United States
2019-11-01,23,3,0,13,10,Norway
2019-11-01,12,2,0,9,4,United Kingdom
2019-11-01,9,7,0,33,3,Germany
2019-11-01,7,0,0,3,2,United States
2019-11-01,13,0,0,5,1,Canada
2019-11-02,11,1,0,5,1,Canada
2019-11-02,9,2,0,7,3,United Kingdom
2019-11-02,18,5,0,15,5,Norway
2019-11-02,7,3,0,29,3,Germany
2019-11-02,5,0,0,3,1,United States
2019-11-03,11,1,0,4,1,Canada
2019-11-03,8,4,0,34,4,Germany
2019-11-03,6,0,0,3,1,United States
2019-11-03,27,6,0,5,5,Norway
2019-11-03,10,2,0,8,3,United Kingdom
2019-11-04,8,4,3,15,7,Norway
2019-11-04,6,2,0,35,5,Germany
2019-11-04,11,1,0,4,1,Canada
2019-11-04,9,1,0,9,3,United Kingdom
2019-11-04,6,0,0,3,1,United States
2019-11-05,6,0,0,3,1,United States
2019-11-05,16,3,0,12,6,Norway
2019-11-05,7,2,0,37,4,Germany
2019-11-05,11,0,0,5,1,Canada
2019-11-05,8,2,0,10,2,United Kingdom
2019-11-06,7,2,0,34,3,Germany
2019-11-06,10,1,0,11,2,United Kingdom
2019-11-06,7,0,0,3,1,United States
2019-11-06,18,1,6,29,6,Norway
2019-11-06,14,0,0,5,1,Canada
2019-11-07,11,1,0,10,2,United Kingdom
2019-11-07,7,2,0,33,3,Germany
2019-11-07,26,7,1,12,6,Norway
2019-11-07,14,1,0,5,1,Canada
2019-11-07,9,0,0,3,1,United States
2019-11-08,10,0,0,3,1,United States
2019-11-08,10,1,0,10,2,United Kingdom
2019-11-08,14,1,0,5,1,Canada
2019-11-08,21,6,1,15,4,Norway
2019-11-08,9,2,0,38,2,Germany
2019-11-09,9,1,0,9,2,United Kingdom
2019-11-09,21,3,2,10,2,Norway
2019-11-09,12,0,0,5,1,Canada
2019-11-09,7,0,0,3,1,United States
2019-11-09,8,3,0,31,2,Germany
2019-11-10,6,3,0,28,2,Germany
2019-11-10,10,1,0,5,1,Canada
2019-11-10,12,0,6,17,5,Norway
2019-11-10,6,0,0,3,1,United States
2019-11-10,11,2,0,9,2,United Kingdom
2019-11-11,6,2,0,32,3,Germany
2019-11-11,16,3,1,17,0,Norway
2019-11-11,7,1,0,3,1,United States
2019-11-11,9,1,0,11,2,United Kingdom
2019-11-11,11,1,0,5,1,Canada
2019-11-12,7,3,0,32,4,Germany
2019-11-12,6,0,0,3,1,United States
2019-11-12,19,0,1,17,1,Norway
2019-11-12,11,1,0,5,1,Canada
2019-11-12,10,1,0,10,2,United Kingdom
2019-11-13,21,3,1,27,1,Norway
2019-11-13,16,0,0,4,1,Canada
2019-11-13,8,2,0,31,5,Germany
2019-11-13,14,1,0,11,3,United Kingdom
2019-11-13,8,0,0,3,1,United States
2019-11-14,9,1,0,10,3,United Kingdom
2019-11-14,12,1,0,5,1,Canada
2019-11-14,7,0,0,3,1,United States
2019-11-14,7,5,0,31,4,Germany
2019-11-14,8,4,1,8,3,Norway
2019-11-15,13,1,0,10,2,United Kingdom
2019-11-15,8,2,0,33,4,Germany
2019-11-15,26,6,1,14,4,Norway
2019-11-15,8,0,0,3,1,United States
2019-11-15,14,1,0,5,1,Canada
2019-11-16,8,3,0,28,3,Germany
2019-11-16,6,0,0,3,1,United States
2019-11-16,13,1,0,4,1,Canada
2019-11-16,23,5,0,6,3,Norway
2019-11-16,11,2,0,9,2,United Kingdom
2019-11-17,9,3,0,24,4,Germany
2019-11-17,12,0,0,4,1,Canada
2019-11-17,11,1,0,9,2,United Kingdom
2019-11-17,8,2,3,17,2,Norway
2019-11-17,6,0,0,3,1,United States
2019-11-18,7,3,0,33,3,Germany
2019-11-18,17,5,4,13,3,Norway
2019-11-18,6,0,0,3,1,United States
2019-11-18,12,1,0,5,1,Canada
2019-11-18,10,1,0,10,2,United Kingdom
2019-11-19,13,1,0,5,1,Canada
2019-11-19,20,8,1,17,3,Norway
2019-11-19,7,0,0,3,1,United States
2019-11-19,11,1,0,10,3,United Kingdom
2019-11-19,10,3,0,35,3,Germany
2019-11-20,14,1,0,9,2,United Kingdom
2019-11-20,8,0,0,3,1,United States
2019-11-20,9,3,0,27,3,Germany
2019-11-20,24,5,0,13,1,Norway
2019-11-20,15,1,0,5,1,Canada
2019-11-21,15,1,0,6,1,Canada
2019-11-21,8,1,0,4,1,United States
2019-11-21,19,5,1,25,4,Norway
2019-11-21,13,1,0,12,2,United Kingdom
2019-11-21,10,3,0,37,3,Germany
2019-11-22,7,0,0,4,1,United States
2019-11-22,7,3,0,42,5,Germany
2019-11-22,32,0,0,21,3,Norway
2019-11-22,10,1,0,14,2,United Kingdom
2019-11-22,12,1,0,7,1,Canada
2019-11-23,5,0,0,3,1,United States
2019-11-23,7,2,0,36,4,Germany
2019-11-23,8,5,2,14,0,Norway
2019-11-23,11,0,0,6,1,Canada
2019-11-23,8,1,0,10,1,United Kingdom
2019-11-24,13,2,0,32,3,Germany
2019-11-24,11,1,0,11,2,United Kingdom
2019-11-24,9,1,0,5,0,Canada
2019-11-24,12,3,2,16,0,Norway
2019-11-24,5,0,0,3,1,United States
2019-11-25,9,0,0,13,2,United Kingdom
2019-11-25,11,0,0,6,1,Canada
2019-11-25,13,3,3,23,3,Norway
2019-11-25,7,2,0,48,5,Germany
2019-11-25,5,0,0,4,1,United States
2019-11-26,5,0,0,4,1,United States
2019-11-26,10,1,0,7,1,Canada
2019-11-26,14,3,3,15,1,Norway
2019-11-26,9,1,0,12,2,United Kingdom
2019-11-26,7,5,1,51,9,Germany
2019-11-27,28,1,3,10,4,Norway
